Designator,Mid X,Mid Y,Rotation,Layer
ATGM336H1,115.2,-58.2,0.0,top
BT1,119.2,-48.4,270.0,top
C1,126.69682,-81.81,90.0,top
C10,125.6,-77.78,0.0,top
C11,116.5,-69.28,90.0,top
C12,114.9,-69.26,90.0,top
C13,138.2,-45.5,0.0,top
C14,140.52,-45.5,0.0,top
C15,112.92,-52.3,180.0,top
C16,115.5,-52.3,0.0,top
C17,152.5,-71.1,270.0,top
C18,147.4,-65.1,180.0,top
C19,148.9,-82.0,90.0,top
C2,130.92,-96.4,180.0,top
C20,152.7,-74.8,0.0,top
C21,150.59,-65.52,180.0,top
C22,109.72,-70.4,0.0,top
C23,152.7,-73.7,0.0,top
C24,133.1,-85.8,0.0,top
C25,144.9,-62.78,270.0,top
C3,113.08,-85.87,270.0,top
C31,151.4,-79.8,0.0,top
C32,146.1,-79.8,180.0,top
C33,139.32,-93.7,0.0,top
C4,130.92,-93.0,180.0,top
C5,123.82318,-82.21,180.0,top
C6,115.4,-83.18,270.0,top
C7,114.2,-83.18,270.0,top
C8,116.6,-83.18,270.0,top
C9,117.9,-83.18,270.0,top
D1,145.2,-52.55,90.0,top
D2,124.6,-55.75,90.0,top
FL1,149.25,-74.7,270.0,top
J1,130.025,-45.365,180.0,top
J2,150.6,-57.7,0.0,top
J3,104.9,-64.2,180.0,top
J4,148.9,-86.2,180.0,top
J5,133.45,-72.0,90.0,top
L1,131.4,-94.685,270.0,top
L2,125.6,-78.9,0.0,top
L3,108.6,-56.6,270.0,top
L4,150.22,-63.77,0.0,top
L5,150.8,-72.6,180.0,top
Q1,148.7625,-53.0,180.0,top
Q1_Xtal1,154.53,-68.75,270.0,top
Q3,122.055,-95.8,0.0,top
R1,106.29,-68.4,0.0,top
R10,142.0,-58.4,90.0,top
R11,140.7,-58.4,270.0,top
R12,151.4,-78.8,0.0,top
R13,146.1,-78.7,180.0,top
R14,135.6,-88.3,0.0,top
R15,135.59,-89.6,0.0,top
R16,121.4,-86.3,270.0,top
R17,135.59,-90.9,0.0,top
R18,125.5,-81.81,270.0,top
R19,133.09,-87.1,180.0,top
R2,114.38,-85.87,90.0,top
R22,119.6,-96.4,0.0,top
R23,122.3,-94.0,180.0,top
R24,119.6,-95.2,0.0,top
R3,121.49,-52.4,180.0,top
R4,122.4,-60.9,270.0,top
R5,121.09,-83.2,0.0,top
R6,126.59,-51.1,180.0,top
R7,133.79,-51.4,0.0,top
R8,141.69,-55.6,180.0,top
R9,144.5,-48.9,90.0,top
SW1,110.109889,-88.753395,310.0,top
SW2,104.525001,-72.250001,270.0,top
U1,119.95,-76.0,270.0,top
U10,111.7,-76.2,0.0,top
U11,118.100001,-90.85,0.0,top
U12,148.899999,-79.6032,270.0,top
U2,140.0,-50.45,90.0,top
U3,129.85,-52.6625,270.0,top
U4,144.7,-57.2,270.0,top
U5,116.9,-65.5,180.0,top
U6,148.76,-68.84,270.0,top
U8,139.655,-91.65,0.0,top
U9,130.0538,-99.7509,270.0,top
X1,125.47818,-84.435,270.0,top
